,Original,T1,T1Gd,T2,FLAIR
UNETR (random),0.772669984336878,0.6328521760616864,0.23215792541361235,0.6745640394898317,0.7167306535318668
Attn-UNet (random),0.1572307046299061,0.016384606195031175,0.01883326613106088,0.04275538124955665,0.013954038798544328
UNETR (zeros),0.772669984336878,0.6666923100282902,0.3208966148629708,0.7026121081565796,0.7327505214239961
Attn-UNet (zeros),0.1572307046299061,0.17923307093352345,0.15839604176667987,0.1907641250767291,0.1330757444291652
